Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
println(response.getResponseBodyContent()),,,,2019-09-20 03:15:43,2019-09-20 03:15:43,0.002s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2019-09-20 03:15:43,2019-09-20 03:15:43,0.001s,PASSED
parsedJson = slurper.parseText(responseText),,,,2019-09-20 03:15:43,2019-09-20 03:15:43,0.001s,PASSED
idValue = id,,,,2019-09-20 03:15:43,2019-09-20 03:15:43,0.000s,PASSED
"id = parsedJson.get(""id"")",,,,2019-09-20 03:15:43,2019-09-20 03:15:43,0.005s,PASSED
println(id),,,,2019-09-20 03:15:43,2019-09-20 03:15:43,0.000s,PASSED
EmpId = id,,,,2019-09-20 03:15:43,2019-09-20 03:15:43,0.004s,PASSED
println(EmpId),,,,2019-09-20 03:15:43,2019-09-20 03:15:43,0.001s,PASSED
"response = sendRequest(findTestObject(""DummyEmployee/Obj_GetEmp""))",,,,2019-09-20 03:15:43,2019-09-20 03:15:44,0.878s,PASSED
println(response.getResponseBodyContent()),,,,2019-09-20 03:15:44,2019-09-20 03:15:44,0.002s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-09-20 03:15:44,2019-09-20 03:15:44,0.006s,PASSED
,,,,,,,
Test Cases/DummyEmp/CreateEmpGetEmp - Parameterized,,,,2019-09-20 03:15:44,2019-09-20 03:15:47,2.229s,PASSED
date = new java.util.Date(),,,,2019-09-20 03:15:44,2019-09-20 03:15:44,0.000s,PASSED
datevalue = date.toString(),,,,2019-09-20 03:15:44,2019-09-20 03:15:44,0.000s,PASSED
"datevalue = datevalue.replace("" "", """")",,,,2019-09-20 03:15:44,2019-09-20 03:15:44,0.004s,PASSED
"datevalue = datevalue.replace("":"", """")",,,,2019-09-20 03:15:44,2019-09-20 03:15:44,0.000s,PASSED
println(datevalue),,,,2019-09-20 03:15:44,2019-09-20 03:15:44,0.004s,PASSED
EmpName = datevalue,,,,2019-09-20 03:15:44,2019-09-20 03:15:44,0.000s,PASSED
println(EmpName),,,,2019-09-20 03:15:44,2019-09-20 03:15:44,0.000s,PASSED
"response = sendRequestAndVerify(findTestObject(""DummyEmployee/Obj_CreateEmpGetEmp - Paremeterized"", [""EmpName"":datevalue, ""salary"":salary, ""age"":age]))",,,,2019-09-20 03:15:44,2019-09-20 03:15:46,1.272s,PASSED
println(response.getResponseBodyContent()),,,,2019-09-20 03:15:46,2019-09-20 03:15:46,0.001s,PASSED
responseText = response.getResponseBodyContent(),,,,2019-09-20 03:15:46,2019-09-20 03:15:46,0.000s,PASSED
"verifyElementPropertyValue(response, ""name"", EmpName)",,,,2019-09-20 03:15:46,2019-09-20 03:15:46,0.019s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-09-20 03:15:46,2019-09-20 03:15:46,0.003s,PASSED
println(response.getResponseBodyContent()),,,,2019-09-20 03:15:46,2019-09-20 03:15:46,0.000s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2019-09-20 03:15:46,2019-09-20 03:15:46,0.000s,PASSED
parsedJson = slurper.parseText(responseText),,,,2019-09-20 03:15:46,2019-09-20 03:15:46,0.000s,PASSED
idValue = id,,,,2019-09-20 03:15:46,2019-09-20 03:15:46,0.000s,PASSED
"id = parsedJson.get(""id"")",,,,2019-09-20 03:15:46,2019-09-20 03:15:46,0.001s,PASSED
println(id),,,,2019-09-20 03:15:46,2019-09-20 03:15:46,0.002s,PASSED
EmpId = id,,,,2019-09-20 03:15:46,2019-09-20 03:15:46,0.002s,PASSED
println(EmpId),,,,2019-09-20 03:15:46,2019-09-20 03:15:46,0.001s,PASSED
"response = sendRequest(findTestObject(""DummyEmployee/Obj_GetEmp""))",,,,2019-09-20 03:15:46,2019-09-20 03:15:47,0.875s,PASSED
println(response.getResponseBodyContent()),,,,2019-09-20 03:15:47,2019-09-20 03:15:47,0.004s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-09-20 03:15:47,2019-09-20 03:15:47,0.004s,PASSED
