Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
println(datevalue),,,,2019-09-20 03:20:25,2019-09-20 03:20:25,0.001s,PASSED
EmpName = datevalue,,,,2019-09-20 03:20:25,2019-09-20 03:20:25,0.001s,PASSED
println(EmpName),,,,2019-09-20 03:20:25,2019-09-20 03:20:25,0.001s,PASSED
"response = sendRequestAndVerify(findTestObject(""DummyEmployee/Obj_CreateEmpGetEmp - Paremeterized"", [""EmpName"":datevalue, ""salary"":salary, ""age"":age]))",,,,2019-09-20 03:20:25,2019-09-20 03:20:26,1.089s,PASSED
println(response.getResponseBodyContent()),,,,2019-09-20 03:20:26,2019-09-20 03:20:26,0.001s,PASSED
responseText = response.getResponseBodyContent(),,,,2019-09-20 03:20:26,2019-09-20 03:20:26,0.000s,PASSED
"verifyElementPropertyValue(response, ""name"", EmpName)",,,,2019-09-20 03:20:26,2019-09-20 03:20:26,0.016s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-09-20 03:20:26,2019-09-20 03:20:26,0.003s,PASSED
println(response.getResponseBodyContent()),,,,2019-09-20 03:20:26,2019-09-20 03:20:26,0.000s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2019-09-20 03:20:26,2019-09-20 03:20:26,0.000s,PASSED
parsedJson = slurper.parseText(responseText),,,,2019-09-20 03:20:26,2019-09-20 03:20:26,0.000s,PASSED
idValue = id,,,,2019-09-20 03:20:26,2019-09-20 03:20:26,0.000s,PASSED
"id = parsedJson.get(""id"")",,,,2019-09-20 03:20:26,2019-09-20 03:20:26,0.001s,PASSED
println(id),,,,2019-09-20 03:20:26,2019-09-20 03:20:26,0.001s,PASSED
EmpId = id,,,,2019-09-20 03:20:26,2019-09-20 03:20:26,0.001s,PASSED
println(EmpId),,,,2019-09-20 03:20:26,2019-09-20 03:20:26,0.002s,PASSED
"response = sendRequest(findTestObject(""DummyEmployee/Obj_GetEmp""))",,,,2019-09-20 03:20:26,2019-09-20 03:20:28,1.351s,PASSED
println(response.getResponseBodyContent()),,,,2019-09-20 03:20:28,2019-09-20 03:20:28,0.000s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-09-20 03:20:28,2019-09-20 03:20:28,0.000s,PASSED
